"_airbyte_ab_id",_airbyte_emitted_at,_airbyte_data
9932a407-4c90-4e6f-91b3-a4dec747b238,1681370611365,"{""userid"":""04686156"",""nametimestampformatted"":""2022-10-3 16:53:13.367"",""datetime_auto_day"":""2022-10-3 16:53:13.367"",""date_auto"":""2022-10-03"",""_submission_time"":""2022-10-03T11:23:25"",""_submitted_by"":""basgodanorth"",""facility"":""Basgoda North"",""yob"":null,""gender"":null}"
8e5d62a3-d5d8-4d40-9c9e-c6299369312c,1681370611365,"{""userid"":""12227778"",""nametimestampformatted"":""2022-10-17 05:08:44.585"",""datetime_auto_day"":""2022-10-17 05:08:44.585"",""date_auto"":""2022-10-17"",""_submission_time"":""2022-10-16T23:38:58"",""_submitted_by"":""basgodanorth"",""facility"":""Basgoda North"",""yob"":null,""gender"":null}"
cd24c09e-5885-4080-9d9e-32a8a699b2c9,1681370611365,"{""userid"":""2001"",""nametimestampformatted"":""2022-04-13 03:56:25.783"",""datetime_auto_day"":""2022-04-13 03:56:25.783"",""date_auto"":""2022-04-13"",""_submission_time"":""2022-04-12T22:30:07"",""_submitted_by"":""shriindia"",""facility"":""Dundibagh"",""yob"":""1992"",""gender"":""male""}"
3cdc86e6-acb7-495e-b4de-0ae0ff90b40b,1681370611365,"{""userid"":""2001"",""nametimestampformatted"":""2022-12-6 03:53:25.658"",""datetime_auto_day"":""2022-12-6 03:53:25.658"",""date_auto"":""2022-12-06"",""_submission_time"":""2022-12-05T22:28:26"",""_submitted_by"":""shriindia"",""facility"":""Dundibagh"",""yob"":""1992"",""gender"":""male""}"
0fd9d3a0-609c-41ac-a76d-6a8f1fff0057,1681370611365,"{""userid"":""2001"",""nametimestampformatted"":""2022-11-9 03:55:02.273"",""datetime_auto_day"":""2022-11-9 03:55:02.273"",""date_auto"":""2022-11-09"",""_submission_time"":""2022-11-08T22:30:37"",""_submitted_by"":""shriindia"",""facility"":""Dundibagh"",""yob"":""1992"",""gender"":""male""}"
b5ec9a4f-2c78-479b-9a56-8711cd125c44,1681370611365,"{""userid"":""2001"",""nametimestampformatted"":""2022-08-18 03:54:18.042"",""datetime_auto_day"":""2022-08-18 03:54:18.042"",""date_auto"":""2022-08-18"",""_submission_time"":""2022-08-17T22:29:00"",""_submitted_by"":""shriindia"",""facility"":""Dundibagh"",""yob"":""1992"",""gender"":""male""}"
6ea4cfcc-44f8-4394-988e-66d04001aec6,1681370611365,"{""userid"":""2001"",""nametimestampformatted"":""2022-10-29 03:52:14.387"",""datetime_auto_day"":""2022-10-29 03:52:14.387"",""date_auto"":""2022-10-29"",""_submission_time"":""2022-10-28T22:24:09"",""_submitted_by"":""shriindia"",""facility"":""Dundibagh"",""yob"":""1992"",""gender"":""male""}"
35cc936f-b9f7-47b1-934f-6d9b536d4855,1681370611365,"{""userid"":""2001"",""nametimestampformatted"":""2022-07-29 03:55:20.801"",""datetime_auto_day"":""2022-07-29 03:55:20.801"",""date_auto"":""2022-07-29"",""_submission_time"":""2022-07-28T22:30:32"",""_submitted_by"":""shriindia"",""facility"":""Dundibagh"",""yob"":""1992"",""gender"":""male""}"
b785eea7-bb6c-4c6c-a8dc-5db7aca70ef7,1681370611365,"{""userid"":""2001"",""nametimestampformatted"":""2022-11-21 03:55:28.941"",""datetime_auto_day"":""2022-11-21 03:55:28.941"",""date_auto"":""2022-11-21"",""_submission_time"":""2022-11-20T22:30:00"",""_submitted_by"":""shriindia"",""facility"":""Dundibagh"",""yob"":""1992"",""gender"":""male""}"
59e177a5-6a1c-438a-950f-d27007a111d1,1681370611365,"{""userid"":""2001"",""nametimestampformatted"":""2023-04-5 03:54:36.257"",""datetime_auto_day"":""2023-04-5 03:54:36.257"",""date_auto"":""2023-04-05"",""_submission_time"":""2023-04-04T22:25:57"",""_submitted_by"":""shriindia"",""facility"":""Dundibagh"",""yob"":""1992"",""gender"":""male""}"
